Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
daptomycin,Daptomycin,4–6 mg/kg once daily for 7–14 days depending on indication,"30–50	Dose as in normal renal function.
<30	4–6 mg/kg every 48 hours."
daratumumab,Daratumumab,"16 mg/kg weekly initially, then fortnightly then every 4 weeks
Or as per local policy","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
darbepoetin alfa,Darbepoetin,"Renal failure: 0.45 micrograms/kg once a week; dose is adjusted by 25% every 4 weeks according to response; maintenance every 1–2 weeks
Patients not on dialysis: 0.75 mcg/kg every 2 weeks; maintenance may be every 1–4 weeks
Chemotherapy related anaemia: 2.25 mcg/kg once a week, or 6.75 mcg/kg every 3 weeks; adjust doses by 50% every 4 weeks according to response","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
darifenacin,Darifenacin,"Dose in normal renal function
7.5–15 mg once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
darunavir,Darunavir,"Previously treated with antiretrovirals: 600 mg twice daily
Not previously treated with antiretrovirals: 800 mg once daily
In combination with cobicistat or ritonavir: 800 mg once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dasabuvir,Dasabuvir,250 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dasatinib,Dasatinib,"Chronic CML: 100 mg once daily
All other indications: 140 mg daily
Maximum: 180 mg once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
daunorubicin,Daunorubicin,"40–60 mg/m2 dose and frequency varies according to indication and formulation
Or as for local protocol","20–50	Dose as in normal renal function. See ‘Other information’.
10–20	Dose as in normal renal function. See ‘Other information’.
<10	Dose as in normal renal function. See ‘Other information’."
decitabine,Decitabine,"Dose in normal renal function
20 mg/m2 daily for 5 days repeated every 4 weeks","20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
deferasirox,Deferasirox,"Oral: 200 mg 3 times a day for 1 week, then twice a day for 1 week, then 200 mg daily maintenance dose or minimum required to control arrhythmia
IV: via central catheter – 5 mg/kg (maximum 1.2 g in 24 hours)
Ventricular arrhythmias or pulseless ventricular tachycardias: 300 mg over at least 3 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
deferiprone,Deferiprone,"25 mg/kg 3 times daily
Maximum 100 mg/kg daily","20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function. Use with caution.
<15	Use with caution."
deflazacort,Deflazacort,"Dose in normal renal function
3–18 mg daily
(Acute disorders up to 120 mg daily initially)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
degarelix,Degarelix,"Dose in normal renal function
240 mg starting dose (administered as 2 separate injections of 120 mg) followed by 80 mg every 28 days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
delamanid,Delamanid,100 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use
<10        Dose as in normal renal function. Use with caution."
demeclocycline hydrochloride,Demeclocycline,"150 mg 4 times a day or 300 mg twice daily
Syndrome of inappropriate antidiuretic hormone: 900–1200 mg daily in divided doses
Maintenance: 600–900 mg daily in divided doses","20–50	Dose as in normal renal function.
10–20	600 mg every 24–48 hours.
<10	600 mg every 24–48 hours."
denosumab,Denosumab,"Osteoporosis: 60 mg every 6 months
Reduction of bone damage: 120 mg every 4 weeks","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. See 'Other information'.
<10	Dose as in normal renal function. See 'Other information'."
desferrioxamine mesilate,Desferrioxamine,"SC/IV: Initially 500 mg then 20–60 mg/kg/day 3–7 times a week. Exact dosages should be determined for each individual
IM: 0.5–2 g daily as stat, maintenance dose as per response
Oral: acute iron poisoning: 5–10 g should be dissolved in 50–100 mL water
Aluminium overload in HD: (IV) 5 mg/kg weekly over last hour of dialysis
PD: (SC, IM, IV, IP) 5 mg/kg weekly before the final exchange of the day","20–50	Dose as in normal renal function. See 'Other information'.
10–20	See 'Other information'.
<10	See 'Other information'."
desirudin (unlicensed product),Desirudin,15 mg 5–15 minutes before surgery then 15 mg twice daily for 9–12 days or until mobile,"31–60	Initially 5 mg twice daily. Aim for APTT <0.85 seconds.
<31	Initially 1.7 mg twice daily and monitor APTT."
desloratadine,Desloratadine,5 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
desmopressin (ddavp),Desmopressin,"Diabetes insipidus: Oral: 0.2–1.2 mg daily in 3 divided doses. IV/SC/IM: 1–4 mcg daily. Inhaled: 10–40 mcg in 1 or 2 divided doses. Sub-lingual: 120–720 mcg daily
Nocturnal enuresis: Oral: 200–400 mcg at bedtime. Sub-lingual: 120–240 mcg at bedtime
Nocturia due to multiple sclerosis: (Intranasal) 10- 20 mcg at bedtime
Nocturia due to idiopathic nocturnal polyuria (Sublingual): 25 mcg (women), 50 mcg (men) taken 1 hour before bedtime
Biopsy: Males – 16 mcg; Females – 12 mcg or 300–400 nanograms/kg
Pre-biopsy prophylaxis in uraemic patients: 20 mcg
(IV) over 30 minutes","20–50	Dose as in normal renal function. Apart from Noqdirna contraindicated.
10–20  Dose as in normal renal function. Apart from Noqdirna contraindicated.
<10	Dose as in normal renal function. Apart from Noqdirna contraindicated."
dexamethasone,Dexamethasone,30–50 mg once weekly,"30–50	Dose as in normal renal function.
15–30	Dose as in normal renal function. Use with caution.
<15	Dose as in normal renal function. Use with caution."
dexibuprofen,Dexibuprofen,"antagonism of hypotensive effect, increased risk of	D 

Initially: 600–900 mg daily in up to 3 divided doses, after food; Maximum 1.2 g daily (900 mg daily for dysmenorrhoea);
Maximum single dose: 400 mg (300 mg for dysmenorrhoea).","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
dexketoprofen,Dexketoprofen,"Anticoagulants: effects of coumarins and	D 

12.5 mg every 4–6 hours
Or 25 mg every 8 hours","20–50	Dose as in normal renal function but use with caution.
10–20	Dose as in normal renal function but avoid if possible.
<10	Dose as in normal renal function but only if on dialysis."
dexrazoxane,Dexrazoxane,"Cardioxane®: 10 times the dose of doxorubicin or epirubicin
Savene®: days 1 and 2: 1000 mg/m2  (maximum daily dose 2000 mg), day 3: 500 mg/m2 (maximum daily dose 1000 mg)","40–50	Dose as in normal renal function.
<40	Give 50% of dose. See 'Other information'."
diamorphine hydrochloride,Diamorphine,"Severe pain: Oral/SC/IM: 5–10 mg 4 hourly, increasing dose as necessary.
MI, acute pulmonary oedema: IV: 2.5–5 mg. Elderly patients – reduce dose by half.","20–50	Dose as in normal renal function.
10–20	Use small doses, e.g. 2.5 mg SC/IM approx 6 hourly and titrate to response.
<10	Use small doses, e.g. 2.5 mg SC/IM approx 8 hourly and titrate to response."
diazepam,Diazepam,"Pre-med: Oral: 5–10 mg, IV: 10–20 mg or 100–200 mcg/kg; PR: 500 mcg/kg repeated after 12 hours as rectal solution
Anxiety: Oral: 2 mg 3 times a day, increasing if necessary to 15–30 mg daily in divided doses; PR: 10–30 mg daily in divided doses
IM/IV: 5–10 mg repeated after not less than 4 hours
Insomnia: 5–15 mg at night
Muscle spasms: 2–15 mg daily in divided doses, maximum 60 mg daily
Status epilepticus: IV: 10 mg, repeated after 10 minutes if required
PR: 10–20 mg","20–50	Dose as in normal renal function.
10–20	Use small doses and titrate to response.
<10	Use small doses and titrate to response."
diazoxide,Diazoxide,"Hypertension: IV: 1–3 mg/kg; maximum single dose: 150 mg, repeat after 5–15 minutes.
Hypoglycaemia: Oral: 3–5 mg/kg in 2–3 divided doses; adjust according to response, usually 3–8 mg/ kg; total doses up to 1 g have been used","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with a lower dose and increase gradually according to response. Use with caution."
diclofenac sodium,Diclofenac,75–150 mg daily in divided doses.,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
didanosine,Didanosine,">60 kg: 400 mg daily in 1–2 divided doses
<60 kg: 250 mg daily in 1–2 divided doses","30–59	<60 kg: 150 mg daily in 1 or 2 divided
doses; >60 kg: 200 mg daily in 1 or 2 divided doses.
10–29	<60 kg: 100 mg daily; >60 kg: 150 mg daily.
<10	<60 kg: 75 mg daily; >60 kg: 100 mg daily."
digoxin,Digoxin,50–1200 mg daily (in divided doses if >300 mg); varies according to indication,"30–60	Reduce dose by 50%.
10–30	Use a third of the dose. See 'Other information'.
<10	Use with caution. Start with minimum dose and increase according to patient’s response."
dihydrocodeine tartrate,Dihydrocodeine,"Oral: 30 mg every 4–6 hours
SC/IM: up to 50 mg every 4–6 hours","20–50	Dose as in normal renal function.
10–20	Use small doses and titrate to response.
<10	Use small doses and titrate to response."
diltiazem hydrochloride,Diltiazem,180–480 mg in up to 3 divided doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with a low dose and gradually increase as tolerated."
dimethyl fumarate,Dimethyl,"MS: 120 mg twice daily for 7 days then 240 mg twice daily
Plaque psoriasis: initially 30 mg once daily increasing to 720 mg in 3 divided doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
dipyridamole,Dipyridamole,"Oral: 100–200 mg 3 times daily
Modified release: 200 mg twice daily
IV: 0.142 mg/kg/minute (0.567 mg/kg total) infused over 4 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
disodium pamidronate,Disodium,"Hypercalcaemia: depends on serum calcium – 15–90 mg in single or divided doses
Bone pain: 90 mg every 4 weeks
Paget’s disease: 30 mg weekly for 6 weeks, or 30 mg first dose then 60 mg every other week","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Serum calcium >4.0, give 60 mg.
               Serum calcium <4.0, give 30 mg."
disopyramide,Disopyramide,"Oral: 300–800 mg daily in divided doses
IV: 2 mg/kg over 5 minutes to a maximum of 150 mg
Infusion: 400 mcg/kg/hour, maximum 300 mg in 1st hour and 800 mg daily","20–60	Oral: 100 mg every 8 hours or 150 mg every 12 hours. IV: Reduce dose.
8–20	Oral: 100 mg every 12 hours. IV: Reduce dose.
<8	Oral: 150 mg every 24 hours (monitor levels). IV: Reduce dose."
disulfiram,Disulfiram,800 mg on day 1 reducing over 5 days to 100–200 mg daily.,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dobutamine,Dobutamine,"2.5–10 micrograms/kg/minute, increasing up to 40 micrograms/kg/minute according to response.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
docetaxel,Docetaxel,75–100 mg/m2 every 3 weeks depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dolutegravir,Dolutegravir,"Dose in normal renal function
50 mg once or twice daily (depending on concomitant medication)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
domperidone,Domperidone,30 mg twice daily after dose titration,"30–50	Dose as in normal renal function.
10–30	30 mg once daily.
<10	30 mg once daily."
donepezil hydrochloride,Donepezil,"Dose in normal renal function
5–10 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dopamine hydrochloride,Dopamine,Initially 2–5 mcg/kg/min,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dopexamine hydrochloride,Dopexamine,IV infusion: 0.5–1 mcg/kg/min and then in increments (0.5–1 mcg/kg/min) up to 6 mcg/kg/minute at not less than 15 minute intervals,"20–50	Dose as in normal renal function and adjust to response.
10–20	Dose as in normal renal function and adjust to response.
<10	Dose as in normal renal function and adjust to response."
dornase alfa,Dornase,"Dose in normal renal function
2.5 mg (2500 u) daily via nebuliser can be increased to twice daily if over 21 years of age.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dosulepin hydrochloride (dothiepin),Dosulepin,"Dose in normal renal function
50–225 mg daily","20–50	Dose as in normal renal function.
10–20	Start with small dose and titrate according to response.
<10	Start with small dose and titrate according to response."
dosulepin hydrochloride (dothiepin),Dothiepin,"Dose in normal renal function
50–225 mg daily","20–50	Dose as in normal renal function.
10–20	Start with small dose and titrate according to response.
<10	Start with small dose and titrate according to response."
doxapram hydrochloride,Doxapram,"Postoperative respiratory depression: IV injection 1–1.5 mg/kg repeated at hourly intervals, or IV infusion 2–3 mg/minute, adjusted according to response
Acute respiratory failure: 1.5–4 mg/minute as an IV infusion, adjusted according to response","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
doxazosin,Doxazosin,"Hypertension: 1–16 mg daily
XL preparation: 4–8 mg once daily
BPH: 1–8 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
doxepin,Doxepin,"25–300 mg daily, doses above 100 mg given in 3 divided doses","20–50	Dose as in normal renal function.
10–20	Start with small dose and titrate according to response.
<10	Start with small dose and titrate according to response."
doxorubicin hydrochloride,Doxorubicin,Varies according to local protocol,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	75–100% of dose. Caelyx: No data."
doxycycline,Doxycycline,"Dose in normal renal function
200 mg on day 1, then 100 mg daily; severe infections 200 mg daily
Syphilis: 100-200 mg twice daily
Malaria: treatment: 200 mg once daily; prophylaxis: 100 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
dronedarone,Dronedarone,400 mg twice daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. See 'Other information'.
<10	Dose as in normal renal function. See 'Other information'."
droperidol,Droperidol,"PONV: 0.625–125 mg every 6 hours
Prevention of PONV due to opioids in PCA: 15–50 mcg of droperidol for every 1 mg of morphine, maximum 5 mg","20–50	Dose as in normal renal function.
10–20	625 mcg every 6 hours. Reduce dose of infusion.
<10	625 mcg every 6 hours. Reduce dose of infusion"
dulaglutide,Dulaglutide,Monotherapy: 0.75 mg once weekly Combination therapy: 0.75–1.5 mg once weekly,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
duloxetine,Duloxetine,"Incontinence: 20–40 mg twice daily
Depression: 60 mg daily
Diabetic neuropathy: 60–120 mg daily, 120 mg in divided doses
Anxiety: 30–120 mg daily","30–50	Dose as in normal renal function; start with a low dose.
10–30	Start at very low dose and increase according to response. See 'Other information'.
<10	Start at very low dose and increase according to response. See 'Other information'."
dutasteride,Dutasteride,"Dose in normal renal function
500 mcg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
eculizumab,Eculizumab,"PNH: 600 mg once a week for 4 weeks then 900 mg every 12–16 days
aHUS and MG: 900 mg once a week for 4 weeks then 1200 mg every 12–16 days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
edoxaban tosilate,Edoxaban,"60 mg once daily
Dose reduced to 30 mg once daily if weight <60 kg or concomitant P-glycoprotein inhibitors","15–50	30 mg once daily.
<15	15 mg once daily."
efavirenz,Efavirenz,"600 mg once daily (tablets and capsules should be taken on an empty stomach to minimise side effects)
Oral solution: 720 mg once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
eletriptan,Eletriptan,"40–80 mg repeated after 2 hours if migraine recurs (do not take 2nd dose for the same attack).
Maximum 80 mg in 24 hours.","30–50	20 mg. Maximum daily dose 40 mg.
10–30	20 mg. Maximum daily dose 40 mg. Use with caution.
<10	20 mg. Maximum daily dose 40 mg. Use with caution."
eltrombopag,Eltrombopag,"5 mg/kg weekly for 2 weeks then once every 2 weeks.
(See further information for BK polyoma virus treatment)",">55	Dose as in normal renal function.
<55	See 'Other information'."
eluxadoline,Eluxadoline,75–100 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
empagliflozin,Empagliflozin,10–25 mg once daily,"45–60	10 mg once daily. See 'Other information'.
<45	Avoid. See 'Other information'."
emtricitabine,Emtricitabine,"200 mg once daily (if weight >33 kg)
Oral solution: 240 mg once daily, (6 mg/kg if weight
<33 kg)","30–50	Tablets: 200 mg once daily. Oral solution: 240 mg daily.
15–30	Tablets: 200 mg every 72 hours. Oral solution: 80 mg daily.
<15	Tablets: 200 mg every 96 hours. Oral solution: 60 mg daily."
enalapril maleate,Enalapril,2.5–40 mg daily,"20–50	Dose as in normal renal function.
10–20	Start with 2.5 mg per day and increase according to response.
<10	Start with 2.5 mg per day and increase according to response."
enfuvirtide,Enfuvirtide,90 mg twice daily,"35–50	Dose as in normal renal function.
10–35	Dose as in normal renal function.
<10	Dose as in normal renal function."
enoxaparin sodium (lmwh),Enoxaparin,"Prophylaxis DVT:
Moderate risk surgery: 20 mg once daily
High risk surgery / medical prophylaxis: 40 mg once daily
Treatment DVT and PE: 1.5 mg/kg every 24 hours
Anticoagulation of extracorporeal circuits – see 'Other information'
Acute coronary syndrome: 1 mg/kg every 12 hours","30–80	Dose as in normal renal function.
15–30	Prophylaxis: 20 mg daily. Treatment: 1 mg/kg daily. Initial stat dose of 30 mg for patients who have had a STEMI and are <75 years.
<15	Treatment: 1 mg/kg daily. Initial stat dose of 30 mg for patients who have had a STEMI and are <75 years.
Prophylaxis: 20 mg daily. See 'Other information'."
entacapone,Entacapone,"200 mg with each dose of levodopa with dopadecarboxylase inhibitor
Max 2 g daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
entecavir,Entecavir,500 mcg daily; 1000 mcg daily in lamivudine-refractory,"30–50	250 mcg daily or 500 mcg every 48 hours; 500 mcg daily in lamivudine- refractory patients.
10–30	150 mcg daily or 500 mcg every 72 hours; 300 mcg daily or 500 mcg every 48 hours in lamivudine-refractory patients.
<10	50 mcg daily or 500 mcg every 5–7 days; 100 mcg daily or 500 mcg every 72 hours in lamivudine-refractory patients."
enzalutamide,Enzalutamide,"200 mg in 2 separate injections at weeks 0, 2, and 4 then
maintenance of 200 mg every 2 weeks or 400 mg every 4 weeks","20–50	Dose as in normal renal function.
10–20	Use with caution.
<10	Use with caution."
epirubicin hydrochloride,Epirubicin,"60–90 mg/m2 every 3 weeks.
High dose: 60–135 mg/m2 every 3–4 weeks, or 45 mg/ m2 on days 1, 2, and 3, every 3 weeks.
Dose and frequency depend on condition and whether monotherapy or combination therapy
Or according to local protocol.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function but use lower dose."
eplerenone,Eplerenone,25–50 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
epoetin alfa (eprex),Epoetin alfa,"Renal:
CORRECTION PHASE: (To raise haemoglobin to target level) 50 u/kg 2–3 times weekly; increase, according to response, by 25 u/kg 3 times weekly at intervals of 4 weeks. Rise in haemoglobin should not exceed 2 g/100 mL/month (optimum rise in haemoglobin up to 1 g/100 mL/month to avoid hypertension). Target haemoglobin usually 10–12 g/100 mL.
MAINTENANCE PHASE: Adjust dose to maintain required haemoglobin level; usual dose needed is 75–300 u/kg weekly in 1–3 divided doses.
Cancer: Initially 150 u/kg 3 times a week and adjust according to response.
Autologous blood harvest: 600 u/kg IV once or twice a week for 3 weeks prior to surgery.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
epoetin beta (neorecormon),Epoetin beta,"Renal:	
CORRECTION PHASE: (To raise haemoglobin to target level) 20 u/kg SC or 40 u/kg IV 3 times weekly for 4 weeks; increase, according to response, in steps of 20 u/kg 3 times weekly at monthly intervals. Maximum dose 720 u/kg weekly. Target haemoglobin usually 10–12 g/100mL.
MAINTENANCE DOSE: (To maintain haemoglobin at target level) Half correction phase dose, then adjust according to response at intervals of 1–2 weeks.
Cancer: Initially 450 u/kg weekly in 3–7 divided doses and adjust according to response.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
epoprostenol (prostacyclin),Epoprostenol,"2–50 ng/kg/minute, adjusted according to response.
Dialysis anticoagulation: 4 ng/kg/minute starting 10–15 minutes before and continuing during dialysis via the arterial line, adjusted according to response (range: 0.5–12 ng/kg/minute).","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
epoprostenol (prostacyclin),Prostacyclin,"2–50 ng/kg/minute, adjusted according to response.
Dialysis anticoagulation: 4 ng/kg/minute starting 10–15 minutes before and continuing during dialysis via the arterial line, adjusted according to response (range: 0.5–12 ng/kg/minute).","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
eprosartan,Eprosartan,600 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Initially 300 mg daily and increase according to response."
eptifibatide,Eptifibatide,IV bolus of 180 mcg/kg then by IV infusion at a rate of 2 mcg/kg/minute for up to 72–96 hours,"30–50	Normal bolus dose. Reduce infusion to 1 mcg/kg/minute and use with caution due to limited experience.
10–30	Normal bolus dose. Reduce infusion to 1 mcg/kg/minute and use with caution due to limited experience.
<10	Normal bolus dose. Reduce infusion to 1 mcg/kg/minute and use with caution due to limited experience."
eribulin,Eribulin,"Dose in normal renal function
1.23 mg/m2 (as base) on days 1 and 8 of every 21-day cycle	
Consult relevant local protocol","30–50	1.1 mg/m2/dose.
<30	Reduce dose."
erlotinib,Erlotinib,"Non-small cell lung cancer: 150 mg once daily at least 1 hour before or 2 hours after food.
Pancreatic cancer: 100 mg once daily
Or see local protocol","20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Use with caution."
ertapenem,Ertapenem,1 g daily,"30–50	Dose as in normal renal function.
10–30	Use 50–100% of dose.
<10	Use 50% of dose, or 1 g 3 times a week.
See 'Other information'."
erythromycin,Erythromycin,20–30 mg daily; maximum 60 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Start with low doses."
escitalopram,Escitalopram,"Antidepressant: 10–20 mg daily
Panic and social anxiety disorder: 5–20 mg
Patients >65 years: maximum 10 mg daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Start with a low dose and titrate slowly.
<10	Dose as in normal renal function. Start with a low dose and titrate slowly."
eslicarbazepine acetate,Eslicarbazepine,400–1200 mg once daily,"30–60	Initially 400 mg every 48 hours or 200 mg once daily increased to 400 mg daily. Dose may be increased as required.
10–30	400 mg alternate days for 2 weeks, increasing to 400 mg once daily, max dose 600 mg daily.
<10	400 mg alternate days for 2 weeks, increasing to 400 mg once daily, max dose 600 mg daily."
esmolol hydrochloride,Esmolol,50–200 micrograms/kg/minute; see product literature for titration schedule.,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
esomeprazole,Esomeprazole,"Oral: 20–40 mg daily
Zollinger-Ellison syndrome: 80–160 mg daily (doses >80 mg given in divided doses)
IV: 20–40 mg daily
Severe peptic ulcer bleeding: 80 mg over 30 minutes then 8 mg/hour for 72 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
estramustine phosphate,Estramustine,0.14–1.4 g daily in divided doses (usual initial dose 560–840 mg daily),"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
etamsylate,Etamsylate,"Menorrhagia: 500 mg 4 times a day during menstruation
Surgical bleeding: 1–1.5 g daily or 250–500 mg every 4–6 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
etanercept,Etanercept,"25 mg twice weekly or 50 mg weekly
Plaque psoriasis: can go up to 50 mg twice weekly for up to 12 weeks","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
etelcalcetide,Etelcalcetide,N/A – Only used in haemodialysis patients,"20–50	N/A. Only used in haemodialysis patients.
10–20	N/A. Only used in haemodialysis patients.
<10	N/A. Only used in haemodialysis patients."
ethambutol hydrochloride,Ethambutol,15 mg/kg/day or 30 mg/kg 3 times a week (supervised dosing),"20–50	Dose as in normal renal function.
10–20	15 mg/kg every 24–36 hours, or
7.5–15 mg/kg/day.
<10	15 mg/kg every 48 hours, or 5–7.5 mg/kg/day."
ethosuximide,Ethosuximide,500 mg – 2 g daily in 2 divided doses,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
etodolac,Etodolac,"300–600 mg daily in 1–2 divided doses
XL: 600 mg once daily","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
etomidate,Etomidate,"150–300 mcg/kg, maximum total dose 60 mg with
Hypnomidate","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
etoposide,Etoposide,"IV: 50–120 mg/m2 daily according to local protocol.
Oral: 120–240 mg/m2 daily for 5 consecutive days Or according to local protocol","30–50	IV: 75% of dose and see ‘Other information’. Oral: Dose as in normal renal function.
15–30	IV: 75% of dose and see ‘Other information’. Oral: Dose as in normal renal function.
<15	IV: 50% of dose, based on clinical response and see ‘Other information’. Oral: Dose as in normal renal function."
etoricoxib,Etoricoxib,"30–60 mg once daily. May be increased temporarily to 90 mg daily in RA and ankylosing spondylitis if required
Acute gouty arthritis: 120 mg once daily","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
etravirine,Etravirine,"Dose in normal renal function	 
200 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
everolimus,Everolimus,"Treatment of advanced renal cell carcinoma, breast cancer and neuroendocrine tumours (Afinitor®): 10 mg daily
Renal angiomyolipoma and subependymal giant cell astrocytoma associated with tuberous sclerosis complex (Oral – Votubia®): 10 mg daily
Transplantation (Oral – Certican®): Renal and cardiac: 0.75 mg twice daily Liver: 1 mg twice daily
Titrate according to levels and tolerability Intravenous: 0.75 mg twice daily
(Titrate according to levels – see 'Other information'.)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.	
<10	Dose as in normal renal function."
evolocumab,Evolocumab,"Dose in normal renal function
Hypercholesterolaemia and mixed dyslipidaemia: 140 mg every 2 weeks or 420 mg once monthly
Homozygous familial hypercholesterolaemia: 420 mg every month titrating up to 420 mg every 2 weeks","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
exemestane,Exemestane,25 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
exenatide,Exenatide,"5–10 mcg twice daily within 60 minutes before the morning and evening meal
MR: 2 mg once weekly","30–50	Increase dose to 10 mcg with caution.
10–30	Avoid. See ‘Other information’.
<10	Avoid. See ‘Other information’."
ezetimibe,Ezetimibe,10 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
