virkestoff,atckode,varenavn
adrenalin,C01CA24,adrenalin
adrenalin,C01CA24,adrenalin martindale pharma
adrenalin,C01CA24,epipen
adrenalin,C01CA24,adrenalin base naf
adrenalin,C01CA24,adrenalin bradex
adrenalin,C01CA24,adrenalin sa
efedrin,C01CA26,efedrin aguettant
efedrin,C01CA26,efedrin sa
efedrin,C01CA26,efedrin unimedic
efedrin,C01CA26,efedrin
droksidopa,C01CA27,northera
milrinon,C01CE02,milnocor
levosimendan,C01CX08,simdax
angiotensin ii,C01CX09,giapreza
glyseroltrinitrat,C01DA02,nitroglycerin orifarm
glyseroltrinitrat,C01DA02,nitrolingual
glyseroltrinitrat,C01DA02,transiderm-nitro
glyseroltrinitrat,C01DA02,nitroglycerin abboxia
glyseroltrinitrat,C01DA02,glyceroltrinitrat-carinopharm
glyseroltrinitrat,C01DA02,minitran
isosorbidmononitrat,C01DA14,imdur
isosorbidmononitrat,C01DA14,ismo
isosorbidmononitrat,C01DA14,monoket od
isosorbidmononitrat,C01DA14,isomex
molsidomin,C01DX12,molsidomin stada
verisiguat,C01DX22,verquvo
alprostadil,C01EA01,prostivas
ubidekarenon,C01EB09,liquid co-q10 natures answer
ubidekarenon,C01EB09,coq10 healthy origins
adenosin,C01EB10,adenosin life medical
adenosin,C01EB10,adenocor
trimetazidin,C01EB15,vastarel
ibuprofen,C01EB16,pedea
ivabradin,C01EB17,procoralan
ivabradin,C01EB17,ivabradine accord
ranolazin,C01EB18,ranexa
regadenoson,C01EB21,rapiscan
metyldopa (venstredreiende),C02AB01,methyldopa intrapharm
metyldopa (venstredreiende),C02AB01,aldomet
metyldopa (venstredreiende),C02AB01,methyldopa stada
metyldopa (venstredreiende),C02AB01,dopegyt
metyldopa (venstredreiende),C02AB01,methyldopa cf
klonidin,C02AC01,catapresan specific
klonidin,C02AC01,clotaxip
klonidin,C02AC01,catapresan
klonidin,C02AC01,catapres-tts-2
klonidin,C02AC01,catapresan orifarm
klonidin,C02AC01,catapressan
klonidin,C02AC01,catapresan øresund
klonidin,C02AC01,kapvay
klonidin,C02AC01,clonidin-ratiopharm
klonidin,C02AC01,clonidin retard-ratiopharm
klonidin,C02AC01,iporel
klonidin,C02AC01,clonidine hcl actavis
klonidin,C02AC01,catapresan euromedica
guanfacin,C02AC02,intuniv
moksonidin,C02AC05,physiotens
moksonidin,C02AC05,moxonidin actavis
prazosin,C02CA01,minipress
prazosin,C02CA01,prazosin hydrochloride novitium
prazosin,C02CA01,teva-prazosin
prazosin,C02CA01,prazosin hcl teva
prazosin,C02CA01,minipres
prazosin,C02CA01,hypovase
prazosin,C02CA01,apo-prazo
prazosin,C02CA01,pratsiol
doksazosin,C02CA04,doxazosin orifarm
doksazosin,C02CA04,cardura
doksazosin,C02CA04,doxazosin aliud
doksazosin,C02CA04,doxazosine mylan lp
doksazosin,C02CA04,doxadura xl
doksazosin,C02CA04,doxazosine arrow lp
doksazosin,C02CA04,carduran neo
doksazosin,C02CA04,cardura xl
doksazosin,C02CA04,doxazosin
doksazosin,C02CA04,carduran cr
guanetidin,C02CC02,guanethidine
dihydralazin,C02DB01,nepresol nordic prime
hydralazin,C02DB02,apresolin
minoksidil,C02DC01,minoxidil par pharm
minoksidil,C02DC01,minoxidil sun pharma
minoksidil,C02DC01,lonolox
minoksidil,C02DC01,lonnoten
minoksidil,C02DC01,loniten
nitroprussid,C02DD01,nipruss
bosentan,C02KX01,bosentan accord
bosentan,C02KX01,bosentan sandoz
bosentan,C02KX01,stayveer
bosentan,C02KX01,bosentan cipla
bosentan,C02KX01,tracleer
ambrisentan,C02KX02,ambrisentan accord
ambrisentan,C02KX02,ambrisentan mylan
ambrisentan,C02KX02,ambrisentan teva
ambrisentan,C02KX02,volibris
macitentan,C02KX04,opsumit
riociguat,C02KX05,adempas
bendroflumetiazid,C03AA01,bendroflumethiazide wockhardt
hydroklortiazid,C03AA03,hydroklortiazid sa
hydroklortiazid,C03AA03,hydromed
hydroklortiazid,C03AA03,esidrex
hydroklortiazid,C03AA03,hydrochlorothiazide orifarm
bendroflumetiazid og kalium,C03AB01,centyl mite med kaliumklorid
bendroflumetiazid og kalium,C03AB01,bendroza
bendroflumetiazid og kalium,C03AB01,centyl med kaliumklorid
bendroflumetiazid og kalium,C03AB01,centyl mite med kaliumklorid
klortalidon,C03BA04,hygroton
metolazon,C03BA08,metolazon abcur
metolazon,C03BA08,metolazon
furosemid,C03CA01,lasix prolongatum
furosemid,C03CA01,furix
furosemid,C03CA01,furosemid
furosemid,C03CA01,impugan
furosemid,C03CA01,lasix liquidum
furosemid,C03CA01,lasix retard
furosemid,C03CA01,furix retard
furosemid,C03CA01,diural
bumetanid,C03CA02,bumetanide teva
bumetanid,C03CA02,burinex
bumetanid,C03CA02,bumetanide centrafarm
bumetanid,C03CA02,bumetanid orifarm
torasemid,C03CA04,torem
spironolakton,C03DA01,spironolakton sa
spironolakton,C03DA01,spirix
spironolakton,C03DA01,spironolactone accord
spironolakton,C03DA01,spironolactone orion
spironolakton,C03DA01,spironolactone arrow
spironolakton,C03DA01,spironolacton aurobindo
kanrenoatkalium,C03DA02,aldactone
kanrenoatkalium,C03DA02,aldactone unimedic
kanrenoatkalium,C03DA02,aldactone nordic prime
eplerenon,C03DA04,eplerenon medical valley
eplerenon,C03DA04,inspra
eplerenon,C03DA04,eplerenon krka
eplerenon,C03DA04,eplerenon accord
finerenon,C03DA05,kerendia
amilorid,C03DB01,amiloride perrigo
amilorid,C03DB01,modamide
hydroklortiazid og kaliumsparende midler,C03EA01,comilorid-mepha mite
hydroklortiazid og kaliumsparende midler,C03EA01,co-amilozide wockhardt
hydroklortiazid og kaliumsparende midler,C03EA01,normorix mite
tolvaptan,C03XA01,jinarc
tolvaptan,C03XA01,samsca
tolvaptan,C03XA01,tolvaptan teva b.v.
tolvaptan,C03XA01,tolvaptan teva
fentolamin,C04AB01,regitine
pentoksyfyllin,C04AD03,trental
fenoksybenzamin,C04AX02,dibenzyran
vasoprotektorer,C05,hirudo verbana
prednisolon,C05AA04,scheriproct
lidokain,C05AD01,posterisan akut
lidokain,C05AD01,antrolin
muskelrelakserende midler,C05AE,nifedipin i locobase sa
glyseroltrinitrat,C05AE01,rectogesic
diltiazem,C05AE03,anoheal
andre kombinasjoner,C05AX03,alcos-anal
organo-heparinoid,C05BA01,hirudoid
polidokanol,C05BB02,aethoxysklerol nordic prime
polidokanol,C05BB02,aethoxysklerol euromedica
polidokanol,C05BB02,aethoxysklerol
polidokanol,C05BB02,aethoxysklerol specific
natriumtetradekylsulfat,C05BB04,fibrovein
rutosid,C05CA01,venoruton
hippocastani semen,C05CX03,solvenix
pindolol,C07AA03,visken
propranolol,C07AA05,pranolol
propranolol,C07AA05,dociton retard
propranolol,C07AA05,propranolol rosemont
propranolol,C07AA05,propranolol teva
propranolol,C07AA05,propranolol takeda
propranolol,C07AA05,hemangiol
propranolol,C07AA05,propranolol sa
propranolol,C07AA05,inderal
propranolol,C07AA05,propranolol accord
propranolol,C07AA05,propranolol accord
propranolol,C07AA05,propal retard
propranolol,C07AA05,propranolol dak
timolol,C07AA06,timolol maleate mylan
timolol,C07AA06,blocadren
sotalol,C07AA07,sotalol carinopharm
sotalol,C07AA07,sotalol mylan
sotalol,C07AA07,sotalex mite
sotalol,C07AA07,sotacor
nadolol,C07AA12,nadolol
nadolol,C07AA12,apo-nadolol
nadolol,C07AA12,corgard
nadolol,C07AA12,nadolol bluepoint
metoprolol,C07AB02,bloxazoc
metoprolol,C07AB02,metoprolol-ratiopharm
metoprolol,C07AB02,selo-zok
metoprolol,C07AB02,metoprolol sandoz
metoprolol,C07AB02,metoprolol 50 1a pharma
metoprolol,C07AB02,metoprolol sa
metoprolol,C07AB02,seloken
metoprolol,C07AB02,metoprololtartrat nordic prime
metoprolol,C07AB02,metopocor
metoprolol,C07AB02,metoprolol aliud
atenolol,C07AB03,atenolol aliud
atenolol,C07AB03,atenolol mylan
atenolol,C07AB03,atenolol orifarm
atenolol,C07AB03,atenolol-ratiopharm
atenolol,C07AB03,atenolol sandoz
atenolol,C07AB03,atenolol 1a pharma
atenolol,C07AB03,tenormin
bisoprolol,C07AB07,stromolol
bisoprolol,C07AB07,emconcor chf
bisoprolol,C07AB07,bisoprolol sandoz
bisoprolol,C07AB07,emconcor
esmolol,C07AB09,brevibloc
nebivolol,C07AB12,nebivolol
landiolol,C07AB14,raploc
labetalol,C07AG01,labetalol s.a.l.f.
labetalol,C07AG01,trandate
karvedilol,C07AG02,carvedilol hexal
karvedilol,C07AG02,kredex
karvedilol,C07AG02,carvedilol aurobindo
bisoprolol og tiazider,C07BB07,lodoz
amlodipin,C08CA01,amlodipin accord
amlodipin,C08CA01,amlodipin sa
amlodipin,C08CA01,amlodipin sandoz
amlodipin,C08CA01,norvasc
felodipin,C08CA02,plendil
felodipin,C08CA02,felodipin hexal
nifedipin,C08CA05,adalat oros
nifedipin,C08CA05,nifedipin-ratiopharm
nifedipin,C08CA05,nifenova
nifedipin,C08CA05,adalat la
nifedipin,C08CA05,adalat crono
nifedipin,C08CA05,nifedipin al
nifedipin,C08CA05,adalat cr
nifedipin,C08CA05,adalat
nifedipin,C08CA05,nifedipine cf
nifedipin,C08CA05,nifedipine leading
nimodipin,C08CA06,nimotop
nimodipin,C08CA06,brainal
lerkanidipin,C08CA13,lercanidipine orion
lerkanidipin,C08CA13,lerkanidipin actavis
lerkanidipin,C08CA13,zanidip
verapamil,C08DA01,isoptin
verapamil,C08DA01,verapamil retard
verapamil,C08DA01,verahexal
verapamil,C08DA01,isoptin retard
verapamil,C08DA01,isoptin orifarm
verapamil,C08DA01,isoptin mite
verapamil,C08DA01,isoptin nordic prime
verapamil,C08DA01,verahexal nordic prime
verapamil,C08DA01,verapamil
verapamil,C08DA01,veramacor
diltiazem,C08DB01,cardizem retard
diltiazem,C08DB01,cardizem uno
diltiazem,C08DB01,diltiazem-ratiopharm
diltiazem,C08DB01,diltiazem
kaptopril,C09AA01,captopril mylan
kaptopril,C09AA01,kaptopril sa
enalapril,C09AA02,enalapril krka
enalapril,C09AA02,enalapril sandoz
enalapril,C09AA02,renitec
enalapril,C09AA02,enalaprilat hikma
enalapril,C09AA02,enalaprilat west-ward
enalapril,C09AA02,enalapril sa
lisinopril,C09AA03,lisinopril ratiopharm
lisinopril,C09AA03,zestril
perindopril,C09AA04,perindoprilarginin servier
ramipril,C09AA05,ramipril actavis
ramipril,C09AA05,ramipril hexal
ramipril,C09AA05,triatec
enalapril og diuretika,C09BA02,renitec comp
enalapril og diuretika,C09BA02,enalapril comp ratiopharm
enalapril og diuretika,C09BA02,renitec comp mite
enalapril og diuretika,C09BA02,co-renitec
lisinopril og diuretika,C09BA03,zestoretic
lisinopril og diuretika,C09BA03,lisinopril/hydroklortiazid actavis
lisinopril og diuretika,C09BA03,lisiplus al
lisinopril og diuretika,C09BA03,lisiplus stada
lisinopril og diuretika,C09BA03,lisinopril-comp puren
lisinopril og diuretika,C09BA03,lisinoplus
enalapril og lerkanidipin,C09BB02,zanipress
enalapril og lerkanidipin,C09BB02,enalapril/lercanidipine krka
losartan,C09CA01,cozaar
losartan,C09CA01,losartan krka
losartan,C09CA01,losartan sa
losartan,C09CA01,losartan medical valley
eprosartan,C09CA02,teveten
valsartan,C09CA03,diovan
valsartan,C09CA03,valsartan krka
valsartan,C09CA03,valsartan sandoz
valsartan,C09CA03,valsartan krka
irbesartan,C09CA04,irbesartan actavis
irbesartan,C09CA04,irbesartan sandoz
irbesartan,C09CA04,ifirmasta
irbesartan,C09CA04,aprovel
kandesartan,C09CA06,candesartan sandoz
kandesartan,C09CA06,candesartan krka
kandesartan,C09CA06,atacand
telmisartan,C09CA07,micardis
telmisartan,C09CA07,telmisartan actavis
olmesartanmedoksomil,C09CA08,olmesartan medoxomil accord
olmesartanmedoksomil,C09CA08,olmesartan medoxomil krka
losartan og diuretika,C09DA01,cozaar comp
losartan og diuretika,C09DA01,cozaar comp forte
losartan og diuretika,C09DA01,losartan/hydrochlorothiazide krka
eprosartan og diuretika,C09DA02,teveten comp
valsartan og diuretika,C09DA03,diovan comp
valsartan og diuretika,C09DA03,valsartan/hydrochlorothiazide krka
valsartan og diuretika,C09DA03,valsartan/hydrochlorothiazide krka
irbesartan og diuretika,C09DA04,coaprovel
irbesartan og diuretika,C09DA04,ifirmacombi
irbesartan og diuretika,C09DA04,irbesartan/hydroklortiazid actavis
irbesartan og diuretika,C09DA04,irbesartan/hydrochlorothiazide sandoz
kandesartan og diuretika,C09DA06,candesartan/hydrochlorothiazide krka
kandesartan og diuretika,C09DA06,atacand plus
kandesartan og diuretika,C09DA06,candemox comp
kandesartan og diuretika,C09DA06,atacand plus mite
telmisartan og diuretika,C09DA07,micardisplus
telmisartan og diuretika,C09DA07,actelsar hct
olmesartanmedoksomil og diuretika,C09DA08,olmetec comp
valsartan og amlodipin,C09DB01,exforge
valsartan og amlodipin,C09DB01,bevacomb
"valsartan, amlodipin og hydroklortiazid",C09DX01,exforge hct
"valsartan, amlodipin og hydroklortiazid",C09DX01,amlodipine/valsartan/hydrochlorothiazide mylan
valsartan og sakubitril,C09DX04,entresto
aliskiren,C09XA02,rasilez
lipidmodifiserende midler,C10,red yeast rice solaray
lipidmodifiserende midler,C10,hypocol
simvastatin,C10AA01,simvastatin bluefish
simvastatin,C10AA01,simvastatin hexal
simvastatin,C10AA01,simvastatin sandoz
simvastatin,C10AA01,zocor
lovastatin,C10AA02,liprox
lovastatin,C10AA02,lovabeta
pravastatin,C10AA03,pravastatin sandoz
fluvastatin,C10AA04,fluvastatin accord
fluvastatin,C10AA04,lescol depot
atorvastatin,C10AA05,lipitor
atorvastatin,C10AA05,atorvastatin pensa
atorvastatin,C10AA05,atorvastatin-ratiopharm
atorvastatin,C10AA05,atorvastatin xiromed
atorvastatin,C10AA05,atorvastatin accord
atorvastatin,C10AA05,atorvastatin hexal
atorvastatin,C10AA05,atorvastatin aristo
atorvastatin,C10AA05,atorvastatin sandoz
rosuvastatin,C10AA07,rosuvastatin glenmark
rosuvastatin,C10AA07,crestor
rosuvastatin,C10AA07,rosuvastatin sandoz
rosuvastatin,C10AA07,rosuvastatin xiromed
pitavastatin,C10AA08,livalo
bezafibrat,C10AB02,bezalip retard
bezafibrat,C10AB02,bezalip
bezafibrat,C10AB02,bezalip mono
gemfibrozil,C10AB04,lopid
fenofibrat,C10AB05,lipofene
fenofibrat,C10AB05,fenofibrat heumann
fenofibrat,C10AB05,lipanthyl
fenofibrat,C10AB05,fenofibrat
fenofibrat,C10AB05,lipantil micro
fenofibrat,C10AB05,fenofibrate impax
fenofibrat,C10AB05,fenofibrat ethypharm
kolestyramin,C10AC01,colestyramin ratiopharm
kolestyramin,C10AC01,colestyramin orifarm
kolestyramin,C10AC01,questran
kolestyramin,C10AC01,questran light
kolestyramin,C10AC01,quantalan
kolestyramin,C10AC01,questran loc
kolestyramin,C10AC01,colestyramin-ratiopharm
kolestipol,C10AC02,colestid
kolestipol,C10AC02,colestipol hydrochloride greenstone
kolesevelam,C10AC04,welchol
kolesevelam,C10AC04,cholestagel
acipimoks,C10AD06,olbetam
omega-3-triglycerider inkl. andre estere og syrer,C10AX06,omacor
omega-3-triglycerider inkl. andre estere og syrer,C10AX06,vazkepa
ezetimib,C10AX09,ezetrol
ezetimib,C10AX09,ezetimib aristo
ezetimib,C10AX09,ezetimib krka
ezetimib,C10AX09,ezetimibe accord
ezetimib,C10AX09,ezetimib sandoz
lomitapid,C10AX12,lojuxta
evolokumab,C10AX13,repatha
alirokumab,C10AX14,praluent
bempedoinsyre,C10AX15,nilemdo
inklisiran,C10AX16,leqvio
simvastatin og ezetimib,C10BA02,inegy
simvastatin og ezetimib,C10BA02,ezetimib/simvastatin krka
simvastatin og ezetimib,C10BA02,ezetimibe/simvastatin accord
simvastatin og ezetimib,C10BA02,ezetimib/simvastatin glenmark
simvastatin og ezetimib,C10BA02,ezetimib/simvastatin glenmark
atorvastatin og ezetimib,C10BA05,atozet
rosuvastatin og ezetimib,C10BA06,zenon
dermatologiske midler,D,combudoron weleda
dermatologiske midler,D,cuprum metallicum praeparatum weleda
dermatologiske midler,D,arnica comp/apis weleda
dermatologiske midler,D,weleda heilsalbe
dermatologiske midler,D,hypericum flos weleda
nystatin,D01AA01,nystatin acis
klotrimazol,D01AC01,canesten
klotrimazol,D01AC01,klotrimazol mylan
klotrimazol,D01AC01,cloderm
mikonazol,D01AC02,daktar
ekonazol,D01AC03,pevaryl kombinasjonspakning
ekonazol,D01AC03,pevaryl
ekonazol,D01AC03,pevaryl depot kombinasjonspakning
ketokonazol,D01AC08,fungoral
imidazol/triazolderivater i kombinasjon med kortikosteroider,D01AC20,daktacort
imidazol/triazolderivater i kombinasjon med kortikosteroider,D01AC20,pevisone
imidazol/triazolderivater i kombinasjon med kortikosteroider,D01AC20,cortimyk
metylrosanilin,D01AE02,krystallfiolett naf
ciklopiroks,D01AE14,onytec
terbinafin,D01AE15,lamisil
terbinafin,D01AE15,terbinafin ratiopharm
terbinafin,D01AE15,lamisil dermgel
terbinafin,D01AE15,terbinafinhydroklorid norfri
amorolfin,D01AE16,loceryl
griseofulvin,D01BA01,fulcin
terbinafin,D01BA02,terbinafin hexal
terbinafin,D01BA02,terbinafin orifarm
terbinafin,D01BA02,terbinafine aurobindo
terbinafin,D01BA02,lamisil
vaselin og fettprodukter,D02AC,ullfett sa
vaselin og fettprodukter,D02AC,vaselina pura pege nordic prime
vaselin og fettprodukter,D02AC,ullfett med flytende parafin sa
vaselin og fettprodukter,D02AC,vaselina esterilizada pura orravan
karbamid,D02AE01,karbamid naf
karbamid,D02AE01,canoderm
karbamid,D02AE01,karbamid evolan
karbamid,D02AE01,curemid
"karbamid, kombinasjoner",D02AE51,canomini
salisylsyremidler,D02AF,salisylsyre naf olje
salisylsyremidler,D02AF,salisylsyre sa
salisylsyremidler,D02AF,guttaplast
salisylsyremidler,D02AF,salisylvaselin naf
diverse bløtgjørende og hudbeskyttende midler,D02AX,miniderm
diverse bløtgjørende og hudbeskyttende midler,D02AX,oviderm
"beskyttelsesmidler ved uv-bestråling, til topikal bruk",D02BA,reflectant sun screen beige
"beskyttelsesmidler ved uv-bestråling, til topikal bruk",D02BA,reflectant sun screen coral pink
"beskyttelsesmidler ved uv-bestråling, til topikal bruk",D02BA,reflectant sun screen coffee
dekspantenol,D03AX03,bepanthen
dekspantenol,D03AX03,bepanthen euromedica
dimetinden,D04AA13,fenistil
lidokain,D04AB01,xylocain
andre kløemidler,D04AX,eurax
andre kløemidler,D04AX,hvit vask - sinkliniment naf
antipsoriasismidler til topikal bruk,D05A,sulfantren sa
tjærer,D05AA,tarmed
tjærer,D05AA,inotyol
tjærer,D05AA,alphosyl
ditranol,D05AC01,dithrocream
ditranol,D05AC01,dithrocream hp
metoksalen,D05AD02,metoksalen sa
metoksalen,D05AD02,meladinine
kalsipotriol,D05AX02,daivonex
kalsipotriol,D05AX02,calcipotriol sandoz
kalsitriol,D05AX03,silkis
"kalsipotriol, kombinasjoner",D05AX52,enstilar
"kalsipotriol, kombinasjoner",D05AX52,calcipotriol/betamethasone orifarm
"kalsipotriol, kombinasjoner",D05AX52,daivobet
"kalsipotriol, kombinasjoner",D05AX52,calcipotriol/betamethasone aristo
"kalsipotriol, kombinasjoner",D05AX52,calcipotriol/betamethasone sandoz
metoksalen,D05BA02,oxsoralen
metoksalen,D05BA02,oxsoralen euromedica
metoksalen,D05BA02,uvadex
acitretin,D05BB02,neotigason
acitretin,D05BB02,acitretin orifarm
"fumarsyrederivater, kombinasjoner",D05BX51,fumaderm
"fumarsyrederivater, kombinasjoner",D05BX51,fumaderm initial
klortetrasyklin,D06AA02,aureomycin
oksytetrasyklin,D06AA03,terramycin-polymyxin b
fusidinsyre,D06AX01,fucidin
bacitracin,D06AX05,bacimycin
gentamicin,D06AX07,infectogenta
mupirocin,D06AX09,bactroban
mupirocin,D06AX09,infectopyoderm
sølvsulfadiazin,D06BA01,flammazine
aciklovir,D06BB03,aciklovir norfri
aciklovir,D06BB03,antix
aciklovir,D06BB03,zovirax
podofyllotoksin,D06BB04,condyline
penciklovir,D06BB06,vectavir
penciklovir,D06BB06,vectatone
imiquimod,D06BB10,aldara
imiquimod,D06BB10,zyclara
"aciklovir, kombinasjoner",D06BB53,zoviduo
metronidazol,D06BX01,rosazol
metronidazol,D06BX01,rozex
hydrokortison,D07AA02,hydrokortison evolan
hydrokortison,D07AA02,mildison lipid
hydrokortisonbutyrat,D07AB02,locoid
hydrokortisonbutyrat,D07AB02,locoid crelo
hydrokortisonbutyrat,D07AB02,locoid lipid
desonid,D07AB08,apolar
betametason,D07AC01,betnovate
betametason,D07AC01,betagalen
betametason,D07AC01,betnovat
desoksymetason,D07AC03,desoximetason bipharma
fluocinolonacetonid,D07AC04,synalar
fluocinonid,D07AC08,metosyn
mometason,D07AC13,mometason glenmark
mometason,D07AC13,elocon
mometason,D07AC13,ovixan
flutikason,D07AC17,flutivate
klobetasol,D07AD01,dermovat
klobetasol,D07AD01,clobex
klobetasol,D07AD01,dermovate
fluocinolonacetonid og antiseptika,D07BC02,synalar-c
fluocinolonacetonid og antiseptika,D07BC02,synalar med chinoform
hydrokortison og antibiotika,D07CA01,terra-cortril
hydrokortison og antibiotika,D07CA01,fucidin-hydrocortison
betametason og antibiotika,D07CC01,fucibet
betametason og antibiotika,D07CC01,fucicort
betametason,D07XC01,diprosalic
aluminiumforbindelser,D08AB,alsolsprit sa
aluminiumforbindelser,D08AB,gingi-aid
klorheksidin,D08AC02,chloraprep med farge
klorheksidin,D08AC02,klorhexidinsprit fresenius kabi
klorheksidin,D08AC02,hibitane
klorheksidin,D08AC02,klorhexidin fresenius kabi
klorheksidin,D08AC02,descutan
klorheksidin,D08AC02,chloraprep
klorheksidin,D08AC02,hibiscrub
klorheksidin,D08AC02,chlorhexidin
klorheksidin,D08AC02,klorhexidinsprit farget fresenius kabi
"klorheksidin, kombinasjoner",D08AC52,bepanthen antiseptische wundcreme
"povidon, jodert",D08AG02,braunovidon
"povidon, jodert",D08AG02,videne surgical scrub
"povidon, jodert",D08AG02,braunol
"povidon, jodert",D08AG02,curadona
"povidon, jodert",D08AG02,curadona scrub
"povidon, jodert",D08AG02,videne antiseptic solution
jod,D08AG03,jod naf
cetylpyridin,D08AJ03,pyrisept
sølvnitrat,D08AL01,sølvnitrat sa
sølvnitrat,D08AL01,arzol
andre antiseptika og desinfiserende midler,D08AX,"acetatbuffer ph 4,7 sa"
hydrogenperoksid,D08AX01,väteperoxid apl
hydrogenperoksid,D08AX01,hydrogenperoksid sa
hydrogenperoksid,D08AX01,microcid
kaliumpermanganat,D08AX06,kaliumpermanganat naf
sinkbandasjer uten tilsetninger,D09AB01,zipzoc salvestrømpe
tretinoin,D10AD01,airol
tretinoin,D10AD01,retirides
tretinoin,D10AD01,cordes vas
adapalen,D10AD03,differin
trifaroten,D10AD06,aklief
"tretinoin, kombinasjoner",D10AD51,zalna
"adapalen, kombinasjoner",D10AD53,epiduo
benzoylperoksid,D10AE01,cutacnyl
benzoylperoksid,D10AE01,basiron ac
benzoylperoksid,D10AE01,basiron ac wash
klindamycin,D10AF01,clindamycine teva
klindamycin,D10AF01,dalacin
"erytromycin, kombinasjoner",D10AF52,zineryt
azelainsyre,D10AX03,skinoren
azelainsyre,D10AX03,finacea
isotretinoin,D10BA01,isotretinoin orifarm
isotretinoin,D10BA01,roaccutane
selenforbindelser,D11AC03,selsun
vorte- og hudetsende midler,D11AF,verrumal
vorte- og hudetsende midler,D11AF,vortemiddel naf
vorte- og hudetsende midler,D11AF,infectodell
vorte- og hudetsende midler,D11AF,cantharone
vorte- og hudetsende midler,D11AF,acetocaustin
vorte- og hudetsende midler,D11AF,cantharone plus
takrolimus,D11AH01,protopic
takrolimus,D11AH01,takrolimus accord
pimecrolimus,D11AH02,elidel
alitretinoin,D11AH04,alitretinoin orifarm
alitretinoin,D11AH04,toctino
dupilumab,D11AH05,dupixent
tralokinumab,D11AH07,adtralza
abrocitinib,D11AH08,cibinqo
diverse dermatologiske midler,D11AX,atropin sa
diverse dermatologiske midler,D11AX,pigmanorm
diverse dermatologiske midler,D11AX,natriumklorid sa
minoksidil,D11AX01,minoksidil norfri
minoksidil,D11AX01,recrea forte
finasterid,D11AX10,propecia
finasterid,D11AX10,prosterid
eflornitin,D11AX16,vaniqa
diklofenak,D11AX18,solaraze
brimonidin,D11AX21,mirvaso
ivermektin,D11AX22,soolantra
deoksykolsyre,D11AX24,belkyra
"antiinfektiva og antiseptika, ekskl. kombinasjoner med kortikosteroider",G01A,uva ursi max-v
nystatin,G01AA01,biofanal
nystatin,G01AA01,nyvigan kombipakning
klindamycin,G01AA10,sobelin
klindamycin,G01AA10,dalacin
dekvalin,G01AC05,donaxyl
eddiksyre,G01AD02,eddiksyre sa
metronidazol,G01AF01,flagyl
metronidazol,G01AF01,zidoval
klotrimazol,G01AF02,canesten
ekonazol,G01AF05,pevaryl kombinasjonspakning
ekonazol,G01AF05,pevaryl depot kombinasjonspakning
polikresulen,G01AX03,albothyl
polikresulen,G01AX03,albothyl campus
polikresulen,G01AX03,albothyl orifarm
laktobakterier,G01AX14,vivag pluss
metylergometrin,G02AB01,methergin
dinoproston,G02AD02,minprostin
dinoproston,G02AD02,propess
karboprost,G02AD04,prostin 15m orifarm
misoprostol,G02AD06,angusta
misoprostol,G02AD06,topogyne
plastspiraler med progestogener,G02BA03,jaydess
plastspiraler med progestogener,G02BA03,levosert
plastspiraler med progestogener,G02BA03,kyleena
plastspiraler med progestogener,G02BA03,mirena
vaginalring med progestogen og østrogen,G02BB01,ornibel
vaginalring med progestogen og østrogen,G02BB01,nuvaring
bromokriptin,G02CB01,parlodel
bromokriptin,G02CB01,pravidel
kabergolin,G02CB03,dostinex
kinagolid,G02CB04,norprolac startpakning
kinagolid,G02CB04,norprolac
atosiban,G02CX01,atosiban accord
atosiban,G02CX01,tractocile
atosiban,G02CX01,atosiban sun
klaseormedruerot,G02CX04,remifemin
levonorgestrel og etinyløstradiol,G03AA07,mirabella
levonorgestrel og etinyløstradiol,G03AA07,melleva
levonorgestrel og etinyløstradiol,G03AA07,oralcon
levonorgestrel og etinyløstradiol,G03AA07,microgynon
levonorgestrel og etinyløstradiol,G03AA07,loette 28
levonorgestrel og etinyløstradiol,G03AA07,microgynon 30
desogestrel og etinyløstradiol,G03AA09,mercilon 28
desogestrel og etinyløstradiol,G03AA09,marvelon 28
norgestimat og etinyløstradiol,G03AA11,amorina
drospirenon og etinyløstradiol,G03AA12,yasminelle
drospirenon og etinyløstradiol,G03AA12,naiwanel 28
drospirenon og etinyløstradiol,G03AA12,yasmin 28
drospirenon og etinyløstradiol,G03AA12,yaz
drospirenon og etinyløstradiol,G03AA12,yasmin
drospirenon og etinyløstradiol,G03AA12,yasminelle 28
drospirenon og etinyløstradiol,G03AA12,naiwanel
drospirenon og etinyløstradiol,G03AA12,diza 28
drospirenon og etinyløstradiol,G03AA12,diza
norelgestromin og etinyløstradiol,G03AA13,evra
nomegestrol og østradiol,G03AA14,zoely
dienogest og etinyløstradiol,G03AA16,yana
dienogest og etinyløstradiol,G03AA16,maxim
drospirenon og estetrol,G03AA18,drovelis
noretisteron og etinyløstradiol,G03AB04,synphase
noretisteron og etinyløstradiol,G03AB04,synfase
dienogest og østradiol,G03AB08,qlaira
noretisteron,G03AC01,conludag
medroksyprogesteron,G03AC06,depo-provera
etonogestrel,G03AC08,nexplanon
desogestrel,G03AC09,desirett
desogestrel,G03AC09,cerazette
desogestrel,G03AC09,vinelle
drospirenon,G03AC10,slinda
drospirenon,G03AC10,zlynda
levonorgestrel,G03AD01,levonorgestrel norfri
levonorgestrel,G03AD01,norlevo
