,ICD_code,diagnosis
2844,F4531,Somatoform autonom dysfunksjon i øvre tarmkanal
2845,F4532,Somatoform autonom dysfunksjon i nedre tarmkanal
2846,F4533,Somatoform autonom dysfunksjon i åndedrettssystem
2847,F4534,Somatoform autonom dysfunksjon i urogenitalsystem
2848,F4538,Somatoform autonom dysfunksjon i annet organ eller system
2849,F454,Vedvarende somatoform smertelidelse
2850,F458,Annen spesifisert somatoform lidelse
2851,F459,Uspesifisert somatoform lidelse
2852,F480,Nevrasteni
2853,F481,Depersonalisasjons- eller derealisasjonssyndrom
2854,F488,Annen spesifisert nevrotisk lidelse
2855,F489,Uspesifisert nevrotisk lidelse
2856,F500,Anorexia nervosa
2857,F501,Atypisk anorexia nervosa
2858,F502,Bulimia nervosa
2859,F503,Atypisk bulimia nervosa
2860,F504,Overspising forbundet med annen psykisk lidelse
2861,F505,Oppkast forbundet med annen psykisk lidelse
2862,F508,Annen spesifisert spiseforstyrrelse
2863,F509,Uspesifisert spiseforstyrrelse
2864,F510,Ikke-organisk insomni
2865,F511,Ikke-organisk hypersomni
2866,F512,Ikke-organisk forstyrrelse av søvn-våkenhetsrytmen
2867,F513,Søvngjengeri [somnambulisme]
2868,F514,Natteskrekk [søvnterror]
2869,F515,Mareritt
2870,F518,Annen spesifisert ikke-organisk søvnforstyrrelse
2871,F519,Uspesifisert ikke-organisk søvnlidelse
2872,F520,Mangel på eller tap av seksuell lyst
2873,F521,Seksuell aversjon eller mangel på seksuell glede
2874,F5210,Seksuell aversjon
2875,F5211,Mangel på seksuell glede
2876,F522,Sviktende genital respons
2877,F523,Orgastisk dysfunksjon
2878,F524,Prematur ejakulasjon
2879,F525,Ikke-organisk vaginisme
2880,F526,Ikke-organisk dyspareuni
2881,F527,Forsterket seksualdrift
2882,F528,Annen spesifisert seksuell dysfunksjon som ikke skyldes organisk lidelse
2883,F529,Uspesifisert seksuell dysfunksjon som ikke skyldes somatisk lidelse
2884,F530,"Lett psykisk eller atferdsmessig forstyrrelse i barseltiden, ikke klassifisert annet sted"
2885,F531,"Alvorlig psykisk eller atferdsmessig forstyrrelse i barseltiden, ikke klassifisert annet sted"
2886,F538,"Annen psykisk eller atferdsmessig forstyrrelse i barseltiden, ikke klassifisert annet sted"
2887,F539,Uspesifisert psykisk forstyrrelse i barseltiden
2888,F54,Psykisk eller atferdsmessig forstyrrelse forbundet med forstyrrelse eller lidelse klassifisert annet sted
2889,F55,Misbruk av ikke-avhengighetsskapende stoff
2890,F550,Misbruk av antidepressivum
2891,F551,Misbruk av laksativ
2892,F552,Misbruk av analegetikum
2893,F553,Misbruk av antacidum
2894,F554,Misbruk av vitamin
2895,F555,Misbruk av steroid eller hormon
2896,F556,Misbruk av spesifisert urt eller folkemedisin
2897,F558,Misbruk av annet ikke-avhengighetsskapende stoff
2898,F559,Misbruk av uspesifisert ikke-avhengighetsskapende stoff
2899,F59,Uspesifisert atferdssyndrom forbundet med fysiologiske forstyrrelse eller fysisk faktor
2900,F600,Paranoid personlighetsforstyrrelse
2901,F601,Schizoid personlighetsforstyrrelse
2902,F602,Dyssosial personlighetsforstyrrelse
2903,F603,Emosjonelt ustabil personlighetsforstyrrelse
2904,F6030,Emosjonelt ustabil personlighetsforstyrrelse av impulsiv type
2905,F6031,Emosjonelt ustabil personlighetsforstyrrelse av borderline type
2906,F604,Dramatiserende personlighetsforstyrrelse
2907,F605,Tvangspreget personlighetsforstyrrelse
2908,F606,Engstelig [unnvikende] personlighetsforstyrrelse
2909,F607,Avhengig personlighetsforstyrrelse
2910,F608,Annen spesifikk personlighetsforstyrrelse
2911,F609,Uspesifisert personlighetsforstyrrelse
2912,F61,Blandet eller annen personlighetsforstyrrelse
2913,F610,Blandet personlighetsforstyrrelse
2914,F611,Plagsom personlighetsforandring
2915,F620,Vedvarende personlighetsforandring etter katastrofal livshendelse
2916,F621,Vedvarende personlighetsforandring etter psykisk lidelse
2917,F628,Annen spesifisert vedvarende personlighetsforandring
2918,F629,Uspesifisert vedvarende personlighetsforandring
2919,F630,Patologisk spillelidenskap
2920,F631,Pyromani
2921,F632,Kleptomani
2922,F633,Trikotillomani
2923,F638,Annen spesifisert vane- eller impulsforstyrrelse
2924,F639,Uspesifisert vane- eller impulsforstyrrelse
2925,F652,Blotting
2926,F653,Kikking
2927,F654,Pedofili
2928,F658,Annen spesifisert forstyrrelse i seksuelt objektvalg
2929,F659,Uspesifisert forstyrrelse av seksuelt objektvalg
2930,F660,Seksuell utviklingsforstyrrelse
2931,F6600,Seksuell utviklingsforstyrrelse ved heteroseksualitet
2932,F6601,Seksuell utviklingsforstyrrelse ved homoseksualitet
2933,F6602,Seksuell utviklingsforstyrrelse ved biseksualitet
2934,F6608,"Annen seksuell utviklingsforstyrrelse ved annen seksuell, inkludert prepubertal, legning"
2935,F661,Jeg-fremmed seksuell legning
2936,F6610,Jeg-fremmed seksuell legning ved heteroseksualitet
2937,F6611,Jeg-fremmed seksuell legning ved homoseksualitet
2938,F6612,Jeg-fremmed seksuell legning ved biseksualitet
2939,F6618,"Jeg-fremmed seksuell legning ved annen seksuell, inkludert prepubertal, utvikling"
2940,F662,Forstyrrelse av seksuelle forhold
2941,F6620,Forstyrrelse av seksuelle forhold ved heteroseksualitet
2942,F6621,Forstyrrelse av seksuelle forhold ved homoseksualitet
2943,F6622,Forstyrrelse av seksuelle forhold ved biseksualitet
2944,F6628,"Annen forstyrrelse av seksuelle forhold ved annen seksuell, inkludert prepubertal, legning"
2945,F668,Annen spesifisert psykoseksuell forstyrrelse
2946,F6680,Annen spesifisert psykoseksuell forstyrrelse ved heteroseksualitet
2947,F6681,Annen spesifisert psykoseksuell forstyrrelse ved homoseksualitet
2948,F6682,Annen spesifisert psykoseksuell forstyrrelse ved biseksualitet
2949,F6688,"Annen spesifisert psykoseksuell forstyrrelse ved annen seksuell, inkludert prepubertal, legning"
2950,F669,Uspesifisert psykoseksuell forstyrrelse
2951,F6690,Uspesifisert psykoseksuell forstyrrelse ved heteroseksualitet
2952,F6691,Uspesifisert psykoseksuell forstyrrelse ved homoseksualitet
2953,F6692,Uspesifisert psykoseksuell forstyrrelse ved biseksualitet
2954,F6698,"Uspesifisert psykoseksuell forstyrrelse ved annen seksuell, inkludert prepubertal, legning"
2955,F680,Forsterking av somatisk symptom av psykisk årsak
2956,F681,Viljestyrt produksjon eller simulering av enten fysisk eller psykisk symptom eller dysfunksjon
2957,F688,Annen spesifisert forstyrrelse av voksen personlighet eller atferd
2958,F69,Uspesifisert forstyrrelse av voksen personlighet eller atferd
2959,F700,Lett psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2960,F701,Lett psykisk utviklingshemming med betydelig atferdsproblem
2961,F708,Lett psykisk utviklingshemming med annen angivelse av atferdsproblem
2962,F709,Lett psykisk utviklingshemming uten beskrivelse av atferdsproblem
2963,F710,Moderat psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2964,F711,Moderat psykisk utviklingshemming med betydelig atferdsproblem
2965,F718,Moderat psykisk utviklingshemming med annet spesifisert atferdsproblem
2966,F719,Moderat psykisk utviklingshemming uten beskrivelse av atferdsproblem
2967,F720,Alvorlig psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2968,F721,Alvorlig psykisk utviklingshemming med betydelig atferdsproblem
2969,F728,Alvorlig psykisk utviklingshemming med annet spesifisert atferdsproblem
2970,F729,Alvorlig psykisk utviklingshemming uten beskrivelse av atferdsproblem
2971,F730,Dyp psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2972,F731,Dyp psykisk utviklingshemming med betydelig atferdsproblem
2973,F738,Dyp psykisk utviklingshemming med annet spesifisert atferdsproblem
2974,F739,Dyp psykisk utviklingshemming uten beskrivelse av atferdsproblem
2975,F780,Annen psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2976,F781,Annen psykisk utviklingshemming med betydelig atferdsproblem
2977,F788,Annen psykisk utviklingshemming med annet spesifisert atferdsproblem
2978,F789,Annen psykisk utviklingshemming uten beskrivelse av atferdsproblem
2979,F790,Uspesifisert psykisk utviklingshemming med ingen eller minimalt atferdsproblem
2980,F791,Uspesifisert psykisk utviklingshemming med betydelig atferdsproblem
2981,F798,Uspesifisert psykisk utviklingshemming med annet spesifisert atferdsproblem
2982,F799,Uspesifisert psykisk utviklingshemming uten beskrivelse av atferdsproblem
2983,F800,Spesifikk artikulasjonsforstyrrelse
2984,F801,Ekspressiv språkforstyrrelse
2985,F802,Impressiv språkforstyrrelse
2986,F803,Ervervet afasi med epilepsi [Landau-Kleffners syndrom]
2987,F808,Annen spesifisert utviklingsforstyrrelse av tale eller språk
2988,F809,Uspesifisert utviklingsforstyrrelse av tale eller språk
2989,F810,Spesifikk leseforstyrrelse
2990,F811,Spesifikk staveforstyrrelse
2991,F812,Spesifikk forstyrrelse i regneferdighet
2992,F813,Blandet utviklingsforstyrrelse i skoleferdighet
2993,F818,Annen spesifisert utviklingsforstyrrelse i skoleferdighet
2994,F819,Uspesifisert utviklingsforstyrrelse i skoleferdighet
2995,F82,Spesifikk utviklingsforstyrrelse i motoriske ferdighet
2996,F83,Blandet utviklingsforstyrrelse i spesifikk ferdighet
2997,F840,Barneautisme
2998,F841,Atypisk autisme
2999,F842,Retts syndrom
3000,F843,Annen disintegrativ forstyrrelse i barndommen
3001,F844,Forstyrrelse med overaktivitet forbundet med psykisk utviklingshemming eller bevegelsesstereotypi
3002,F845,Aspergers syndrom
3003,F848,Annen spesifisert gjennomgripende utviklingsforstyrrelse
3004,F849,Uspesifisert gjennomgripende utviklingsforstyrrelse
3005,F88,Annen forstyrrelse av psykologisk utvikling
3006,F89,Uspesifisert forstyrrelse av psykologisk utvikling
3007,F900,Forstyrrelse av aktivitet eller oppmerksomhet
3008,F901,Hyperkinetisk atferdsforstyrrelse
3009,F908,Annen spesifisert hyperkinetisk forstyrrelse
3010,F909,Uspesifisert hyperkinetisk forstyrrelse
3011,F910,Atferdsforstyrrelse begrenset til familien
3012,F911,Usosialisert atferdsforstyrrelse
3013,F912,Sosialisert atferdsforstyrrelse
3014,F913,Opposisjonell atferdsforstyrrelse
3015,F918,Annen spesifisert atferdsforstyrrelse
3016,F919,Uspesifisert atferdsforstyrrelse
3017,F920,Depressiv atferdsforstyrrelse
3018,F928,Annen spesifisert blandet atferdsforstyrrelse eller følelsesmessig forstyrrelse
3019,F929,Uspesifisert blandet atferdsforstyrrelse eller følelsesmessig forstyrrelse
3020,F930,Separasjonsangst i barndommen
3021,F931,Fobisk angstlidelse i barndommen
3022,F932,Sosial angstlidelse i barndommen
3023,F933,"Overdreven, patologisk søskenrivalisering"
3024,F938,Annen spesifisert følelsesmessig forstyrrelse i barndommen
3025,F939,Uspesifisert følelsesmessig forstyrrelse i barndommen
3026,F940,Elektiv mutisme
3027,F941,Reaktiv tilknytningsforstyrrelse i barndommen
3028,F942,Udiskriminerende tilknytningsforstyrrelse i barndommen
3029,F948,Annen spesifisert forstyrrelse av sosial fungering i barndommen
3030,F949,Uspesifisert forstyrrelse av sosial fungering i barndommen
3031,F950,Forbigående «tics»
3032,F951,Kroniske motoriske eller vokale «tics»
3033,F952,Kombinerte vokale og multiple motoriske «tics» Tourettes syndrom
3034,F958,Annet spesifisert syndrom med «tics»
3035,F959,Uspesifisert «tics»
3036,F980,Ikke-organisk enurese
3037,F981,Ikke-organisk enkoprese
3038,F982,Spiseforstyrrelse i barndommen
3039,F983,Pica i spedbarns- eller barnealder
3040,F984,Stereotyp bevegelsesforstyrrelse
3041,F985,Stamming
3042,F986,Løpsk tale
3043,F988,Annen spesifisert atferdsforstyrrelse eller følelsesmessig forstyrrelse som vanligvis oppstår i barne- eller ungdomsalder
3044,F989,Uspesifisert atferdforstyrrelse eller følelsesmessig forstyrrelse som vanligvis oppstår i barne- eller ungdomsalder
3045,F99,Uspesifisert psykisk forstyrrelse eller lidelse
3046,G000,Hemofilusmeningitt
3047,G001,Pneumokokkmeningitt
3048,G002,Streptokokkmeningitt
3049,G003,Stafylokokkmeningitt
3050,G008,Annen spesifisert bakteriell meningitt
3051,G009,Uspesifisert bakteriell meningitt
3052,G01,Meningitt ved bakteriesykdom klassifisert annet sted
3053,G020,Meningitt ved virussykdom klassifisert annet sted
3054,G021,Meningitt ved soppsykdom
3055,G028,Meningitt ved annen spesifisert infeksjonssykdom eller parasittsykdom klassifisert annet sted
3056,G030,Ikke-pyogen meningitt
3057,G031,Kronisk meningitt
3058,G032,Godartet tilbakevendende meningitt
3059,G038,Meningitt av annen spesifisert årsak
3060,G039,Uspesifisert meningitt
3061,G040,Akutt disseminert encefalitt
3062,G041,Myelopati assosiert med humant T-cellelymfotropt virus
3063,G042,"Bakteriell meningoencefalitt eller meningomyelitt, ikke klassifisert annet sted"
3064,G048,"Annen spesifisert encefalitt, myelitt eller encefalomyelitt"
3065,G049,"Uspesifisert encefalitt, myelitt eller encefalomyelitt"
3066,G050,"Encefalitt, myelitt eller encefalomyelitt ved bakteriesykdom klassifisert annet sted"
3067,G051,"Encefalitt, myelitt eller encefalomyelitt ved virussykdom klassifisert annet sted"
3068,G052,"Encefalitt, myelitt eller encefalomyelitt ved annen infeksjonssykdom eller parasittsykdom klassifisert annet sted"
3069,G058,"Encefalitt, myelitt eller encefalomyelitt ved annen sykdom klassifisert annet sted"
3070,G060,Intrakraniell abscess eller granulom
3071,G061,Intraspinal abscess eller granulom
3072,G062,Uspesifisert ekstradural eller subdural abscess
3073,G07,Intrakraniell eller intraspinal abscess eller granulom ved sykdom klassifisert annet sted
3074,G08,Intrakraniell eller intraspinal flebitt eller tromboflebitt
3075,G09,Følgetilstand etter betennelsessykdom i sentralnervesystemet
3076,G10,Huntingtons sykdom
3077,G110,Medfødt ikke-progressiv ataksi
3078,G111,Cerebellar ataksi med tidlig debut
3079,G112,Cerebellar ataksi med sen debut
3080,G113,Cerebellar ataksi med mangelfull DNA-reparasjon
3081,G114,Arvelig spastisk paraplegi
3082,G118,Annen spesifisert arvelig ataksi
3083,G119,Uspesifisert arvelig ataksi
3084,G120,"Infantil spinal muskelatrofi, type I"
3085,G121,Annen arvelig spinal muskelatrofi
3086,G122,Sykdom i motoriske nevroner
3087,G128,Annen spesifisert spinal muskelatrofi eller beslektet syndrom
3088,G129,Uspesifisert spinal muskelatrofi
3089,G130,Paraneoplastisk nevromyopati eller nevropati
3090,G131,Annen sekundær atrofi i sentralnervesystemet ved neoplastisk sykdom
3091,G132,Sekundær atrofi i sentralnervesystemet ved myksødem
3092,G138,Sekundær atrofi i sentralnervesystemet ved annen sykdom klassifisert annet sted
3093,G14,Postpoliosyndrom
3094,G20,Parkinsons sykdom
3095,G210,Malignt nevroleptikasyndrom
3096,G211,Annen legemiddelutløst sekundær parkinsonisme
3097,G212,Sekundær parkinsonisme som har annen ytre årsak
3098,G213,Parkinsonisme etter encefalitt
3099,G214,Vaskulær parkinsonisme
3100,G218,Annen spesifisert sekundær parkinsonisme
3101,G219,Uspesifisert sekundær parkinsonisme
3102,G22,Parkinsonisme ved sykdom klassifisert annet sted
3103,G230,Pantotenat kinase-assosiert nevrodegenerativ sykdom (PKAN)
3104,G231,Progressiv supranukleær oftalmoplegi
3105,G232,"Multippel systematrofi, parkinsonisme dominerer [MSA-p]"
3106,G233,"Multippel systematrofi, cerebellære symptomer dominerer [MSA-c]"
3107,G238,Annen spesifisert degenerativ sykdom i basalganglier
3108,G239,Uspesifisert degenerativ sykdom i basalganglier
3109,G240,Legemiddelutløst dystoni
3110,G241,Idiopatisk familiær dystoni
3111,G242,Idiopatisk ikke-familiær dystoni
3112,G243,Torticollis som skyldes spasmer
3113,G244,Idiopatisk orofacial dystoni
3114,G245,Blefarospasme
3115,G248,Annen spesifisert dystoni
3116,G249,Uspesifisert dystoni
3117,G250,Essensiell tremor
3118,G251,Legemiddelutløst tremor
3119,G252,Annen spesifisert form for tremor
3120,G253,Myoklonus
3121,G254,Legemiddelutløst chorea
3122,G255,Annen chorea
3123,G256,Legemiddelutløste «tics» eller andre «tics» med organisk opprinnelse
3124,G258,Annen spesifisert ekstrapyramidal tilstand eller bevegelsesforstyrrelse
3125,G259,Uspesifisert ekstrapyramidal tilstand eller bevegelsesforstyrrelse
3126,G26,Ekstrapyramidal tilstand eller bevegelsesforstyrrelse ved sykdom klassifisert annet sted
3127,G300,Alzheimers sykdom med tidlig debut
3128,G301,Alzheimers sykdom med sen debut
3129,G308,Annen spesifisert Alzheimers sykdom
3130,G309,Uspesifisert Alzheimers sykdom
3131,G310,Lokalisert hjerneatrofi
3132,G311,Senil hjernedegenerasjon ikke klassifisert annet sted
3133,G312,Degenerasjon av sentralnervesystemet som skyldes alkohol
3134,G318,Annen spesifisert degenerativ sykdom i sentralnervesystemet
3135,G319,Uspesifisert degenerativ sykdom i sentralnervesystemet
3136,G320,Subakutt kombinert degenerasjon av ryggmarg ved sykdom klassifisert annet sted
3137,G328,Annen spesifisert degenerativ tilstand i sentralnervesystem ved sykdom klassifisert annet sted
3138,G35,Multippel sklerose
3139,G360,Neuromyelitis optica
3140,G361,Akutt eller subakutt hemoragisk leukoencefalitt
3141,G368,Annen spesifisert akutt disseminert demyelinisering
3142,G369,Uspesifisert akutt disseminert demyelinisering
3143,G370,Diffus sklerose
3144,G371,Sentral demyelinisering av corpus callosum
3145,G372,Sentral pontin myelinolyse
3146,G373,Akutt tverrsnittsmyelitt ved demyeliniserende sykdom i sentralnervesystemet
3147,G374,Subakutt nekrotiserende myelitt
3148,G375,Konsentrisk sklerose
3149,G378,Annen spesifisert demyeliniserende sykdom i sentralnervesystemet
3150,G379,Uspesifisert demyeliniserende sykdom i sentralnervesystemet
3151,G400,Lokalisasjonsrelatert idiopatisk epilepsi eller epileptiske syndrom med anfall med fokal start
3152,G401,Lokalisasjonsrelatert symptomatisk epilepsi eller epileptiske syndrom med enkle partielle anfall
3153,G402,Lokalisasjonsrelatert symptomatisk epilepsi eller epileptisk syndrom med komplekse partielle anfall
3154,G403,Generalisert idiopatisk epilepsi eller epileptisk syndrom
3155,G404,Annen generalisert epilepsi eller epileptisk syndrom
3156,G405,Spesielle epileptiske syndromer
3157,G406,Uspesifisert epilepsi med tonisk-kloniske anfall
3158,G407,Uspesifisert epilepsi med absenser uten tonisk-kloniske anfall
3159,G408,Annen spesifisert epilepsi
3160,G409,Uspesifisert epilepsi
3161,G410,Tonisk-klonisk status epileptikus
3162,G411,Absens-status
3163,G412,Kompleks partiell status epileptikus
3164,G418,Annen spesifisert status epileptikus
3165,G419,Uspesifisert status epileptikus
3166,G430,Migrene uten aura
3167,G431,Migrene med aura
3168,G432,Status migrainosus
3169,G433,Komplisert migrene
3170,G438,Annen spesifisert migrene
3171,G439,Uspesifisert migrene
3172,G440,Clusterhodepinesyndrom
3173,G441,Vaskulær hodepine ikke klassifisert annet sted
3174,G442,Tensjonshodepine
3175,G443,Kronisk posttraumatisk hodepine
3176,G444,Legemiddelutløst hodepine ikke klassifisert annet sted
3177,G448,Annet spesifisert hodepinesyndrom
3178,G450,Arteria vertebralis-basilaris-syndrom
3179,G451,Carotissyndrom
3180,G452,Syndrom med opphav i flere eller dobbeltsidige precerebrale arterier
3181,G453,Amaurosis fugax
3182,G454,Forbigående global amnesi
3183,G458,Annet spesifisert forbigående cerebralt iskemisk anfall eller beslektet syndrom
3184,G459,Uspesifisert forbigående cerebralt iskemisk anfall
3185,G460,Arteria cerebri media-syndrom
3186,G461,Arteria cerebri anterior-syndrom
3187,G462,Arteria cerebri posterior-syndrom
3188,G463,Syndrom som skyldes hjernestammeslag
3189,G464,Syndrom som skyldes cerebellart slag
3190,G465,Rent motorisk lakunært syndrom
3191,G466,Rent sensorisk lakunært syndrom
3192,G467,Annet lakunært syndrom
3193,G468,Annet spesifisert syndrom som skyldes hjernekarsykdom
3194,G470,Innsovningsforstyrrelse eller søvnforstyrrelse
3195,G471,Eksessiv somnolens
3196,G472,Forstyrrelse i søvn-våkenhetsrytmen
3197,G473,Søvnapné
3198,G474,Narkolepsi eller katapleksi
3199,G478,Annen spesifisert søvnforstyrrelse
3200,G479,Upesifisert søvnforstyrrelse
3201,G500,Trigeminusnevralgi
3202,G501,Atypisk ansiktssmerte
3203,G508,Annen spesifisert sykdom i nervus trigeminus [5.hjernenerve]
3204,G509,Uspesifisert sykdom i nervus trigeminus [5.hjernenerve]
3205,G510,Bells parese
3206,G511,Geniculumganglionitt
3207,G512,Melkerssons syndrom
3208,G513,Klonisk hemifacial spasme
3209,G514,Facial myokymi
3210,G518,Annen spesifisert sykdom i nervus facialis [7.hjernenerve]
3211,G519,Uspesifisert sykdom i nervus facialis [7.hjernenerve]
3212,G520,Sykdom i nervus olfactorius [1. hjernenerve]
3213,G521,Sykdom i nervus glossopharyngeus [9.hjernenerve]
3214,G522,Sykdom i nervus vagus [10. hjernenerve]
3215,G523,Sykdom i nervus hypoglossus [12. hjernenerve]
3216,G527,Sykdom i flere hjernenerver
3217,G528,Sykdom i annen spesifisert hjernenerve
3218,G529,Sykdom i uspesifisert hjernenerve
3219,G530,Nevralgi etter herpes zoster
3220,G531,Flere hjernenervepareser ved infeksjonssykdom eller parasittsykdom klassifisert annet sted
3221,G532,Flere hjernenervepareser ved sarkoidose
3222,G533,Flere hjernenervepareser ved neoplastisk sykdom
3223,G538,Annen hjernenervelidelse ved annen sykdom klassifisert annet sted
3224,G540,Sykdom i plexus brachialis
3225,G541,Sykdom i plexus lumbosacralis
3226,G542,"Sykom i cervikale nerverøtter, ikke klassifisert et annet sted"
3227,G543,"Sykdom i torakale nerverøtter, ikke klassifisert et annet sted"
3228,G544,"Sykdom i lumbosakrale nerverøtter, ikke klassifisert et annet sted"
3229,G545,Nevralgisk amyotrofi
3230,G546,Fantomlemsyndrom med smerte
3231,G547,Fantomlemsyndrom uten smerte
3232,G548,Annen spesifisert sykdom i nerverøtter eller nervepleksus
3233,G549,Uspesifisert sykdom i nerverøtter eller nervepleksus
3234,G550,Kompresjon av nerverøtter eller nervepleksus ved neoplastisk sykdom
3235,G551,Kompresjon av nerverøtter eller nervepleksus ved lidelse i mellomvirvelskive
3236,G552,Kompresjon av nerverøtter eller nervepleksus ved spondylose
3237,G553,Kompresjon av nerverøtter eller nervepleksus ved annen rygglidelse
3238,G558,Kompresjon av nerverøtter eller nervepleksus ved annen sykdom klassifisert annet sted
3239,G560,Karpaltunnelsyndrom
3240,G561,Annen lesjon i nervus medianus
3241,G562,Lesjon i nervus ulnaris
3242,G563,Lesjon i nervus radialis
3243,G568,Annen spesifisert mononevropati i overekstremitet
3244,G569,Uspesifisert mononevropati i overekstremitet
3245,G570,Lesjon i nervus ischiadicus
3246,G571,Meralgia parestetica
3247,G572,Lesjon i nervus femoralis
3248,G573,Lesjon i nervus peroneus communis
3249,G574,Lesjon i nervus tibialis
3250,G575,Tarsaltunnelsyndrom
3251,G576,Lesjon i nerve i fotens underside
3252,G578,Annen spesifisert mononevropati i underekstremitet
3253,G579,Uspesifisert mononevropati i underekstremitet
3254,G580,Interkostal nevropati
3255,G587,Mononeuritis multiplex
3256,G588,Annen spesifisert mononevropati
3257,G589,Uspesifisert mononevropati
3258,G590,Diabetisk mononevropati
3259,G598,Annen mononevropati ved sykdom klassifisert annet sted
3260,G600,Arvelig motorisk eller sensorisk nevropati
3261,G601,Refsums sykdom
3262,G602,Nevropati i tilknytning til arvelig ataksi
3263,G603,Idiopatisk progressiv nevropati
3264,G608,Annen spesifisert arvelig eller idiopatisk nevropati
3265,G609,Uspesifisert arvelig eller idiopatisk nevropati
3266,G610,Guillain-Barrés syndrom
3267,G611,Serumnevropati
3268,G618,Annen spesifisert inflammatorisk polynevropati
3269,G619,Uspesifisert inflammatorisk polynevropati
3270,G620,Legemiddelutløst polynevropati
3271,G621,Alkoholisk polynevropati
3272,G622,Polynevropati som skyldes annet giftstoff
3273,G628,Annen spesifisert polynevropati
3274,G629,Uspesifisert polynevropati
3275,G630,Polynevropati ved infeksjonssykdom eller parasittsykdom klassifisert annet sted
3276,G631,Polynevropati ved neoplastisk sykdom
3277,G632,Diabetisk polynevropati
3278,G633,Polynevropati ved annen endokrin sykdom eller metabolsk forstyrrelse
3279,G634,Polynevropati ved mangelsykdom
3280,G635,Polynevropati ved systemisk bindevevssykdom
3281,G636,Polynevropati ved annen lidelse i muskel-skjelettsystemet
3282,G638,Polynevropati ved annen sykdom klassifisert annet sted
3283,G64,Annen tilstand i det perifere nervesystemet
3284,G700,Myasthenia gravis
3285,G701,Toksisk nevromuskulær forstyrrelse
3286,G702,Medfødt myasteni eller utviklingsmyasteni
3287,G708,Annen spesifisert nevromuskulær forstyrrelse
3288,G709,Uspesifisert nevromuskulær forstyrrelse
3289,G710,Muskeldystrofi
3290,G711,Myoton lidelse
3291,G712,Medfødt myopati
3292,G713,Mitokondriemyopati ikke klassifisert annet sted
3293,G718,Annen spesifisert primær muskelsykdom
3294,G719,Uspesifisert primær muskelsykdom
3295,G720,Legemiddelutløst myopati
3296,G721,Alkoholisk myopati
3297,G722,Myopati som skyldes annet giftstoff
3298,G723,Periodisk paralyse
3299,G724,"Inflammatorisk myopati, ikke klassifisert annet sted"
3300,G728,Annen spesifisert myopati
3301,G729,Uspesifisert myopati
3302,G730,Myastent syndrom ved endokrin sykdom
3303,G731,Lambert-Eatons syndrom
3304,G732,Annet myastent syndrom ved neoplastisk sykdom
3305,G733,Myastent syndrom ved annen sykdom klassifisert annet sted
3306,G734,Myopati ved infeksjonssykdom eller parasittsykdom klassifisert annet sted
3307,G735,Myopati ved endokrin sykdom
3308,G736,Myopati ved metabolsk forstyrrelse
3309,G737,Myopati ved annen sykdom klassifisert annet sted
3310,G800,Spastisk kvadriplegisk cerebral parese
3311,G801,Spastisk diplegisk cerebral parese
3312,G802,Spastisk hemiplegisk cerebral parese
3313,G803,Dyskinetisk cerebral parese
3314,G804,Ataktisk cerebral parese
3315,G808,Annen spesifisert cerebral parese
3316,G809,Uspesifisert cerebral parese
3317,G810,Slapp hemiplegi
3318,G811,Spastisk hemiplegi
3319,G819,Uspesifisert hemiplegi
3320,G820,Slapp paraplegi
3321,G821,Spastisk paraplegi
3322,G822,Uspesifisert paraplegi
3323,G823,Slapp tetraplegi
3324,G824,Spastisk tetraplegi
3325,G825,Uspesifisert tetraplegi
3326,G830,Diplegi i overekstremiteter
3327,G831,Monoplegi i underekstremitet
3328,G832,Monoplegi i overekstremitet
3329,G833,Uspesifisert monoplegi
3330,G834,Cauda equina-syndrom
3331,G835,«Locked-in»-syndrom
3332,G836,Sentral facialisparese
3333,G838,Annet spesifisert syndrom med lammelse
3334,G839,Uspesifisert syndrom med lammelse
3335,G900,Idiopatisk perifer autonom nevropati
3336,G901,Familiær dysautonomi
3337,G902,Horners syndrom
3338,G904,Autonom dysrefleksi
3339,G905,Komplekst regionalt smertesyndrom type I
3340,G906,Komplekst regionalt smertesyndrom type II
3341,G907,Komplekst regionalt smertesyndrom av annen eller uspesifisert type
3342,G908,Annen spesifisert forstyrrelse i det autonome nervesystemet
3343,G909,Uspesifisert forstyrrelse i det autonome nervesystemet
3344,G910,Kommuniserende hydrocephalus
3345,G911,Obstruktiv hydrocephalus
3346,G912,Lavtrykkshydrocephalus
3347,G913,Uspesifisert posttraumatisk hydrocephalus
3348,G918,Annen spesifisert hydrocephalus
3349,G919,Uspesifisert hydrocephalus
3350,G92,Toksisk encefalopati
3351,G930,Hjernecyste
3352,G931,Anoksisk hjerneskade ikke klassifisert annet sted
3353,G932,Godartet intrakraniell hypertensjon
3354,G933,Postviralt utmattelsessyndrom
3355,G934,Uspesifisert encefalopati
3356,G935,Hjernekompresjon
3357,G936,Hjerneødem
3358,G937,Reyes syndrom
3359,G938,Annen spesifisert hjernelidelse
3360,G939,Uspesifisert hjernelidelse
